,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
29-Sep,1,15,,10,,,0,0,9,,0,0,0,0,1,,0,0,0,,,0,5,10,80,0
30-Sep,0,10,,10,,,0,0,3,,0,0,0,0,0,,0,,0,,,0,5,10,80,0
1-Oct,,10,,10,,,0,0,3,,0,0,0,0,0,,0,,,,,0,7,8,82,0
2-Oct,,0,,10,,,0,0,2,,0,,0,0,0,,,,,,,0,8,8,82,0
3-Oct,,0,,10,,,0,,2,,0,,0,,0,,,,,,,0,6,0,50,0
4-Oct,,0,,10,,,0,,,,0,,0,,,,,,,,,0,0,0,45,0
5-Oct,,0,,10,,,0,,,,0,,0,,,,,,,,,0,0,0,35,0
6-Oct,,0,,,,,0,,,,,,0,,,,,,,,,0,0,0,25,0
7-Oct,,0,,,,,0,,,,,,0,,,,,,,,,0,0,0,25,0
8-Oct,,0,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
