,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
26-Sep,40,26,0,30,0,0,0,0,32,0,20,0,0,0,13,0,0,0,35,0,0,0,21,21,40,0
27-Sep,40,23,0,27,0,0,0,0,32,0,20,0,0,0,10,5,0,0,20,0,0,0,21,20,65,0
28-Sep,30,17,0,0,0,0,0,0,30,0,15,0,0,0,10,10,0,0,15,0,0,0,24,20,93,0
29-Sep,35,15,0,0,0,0,0,0,30,0,12,0,0,0,10,13,0,0,10,0,0,0,15,16,95,0
30-Sep,35,15,0,0,0,0,0,0,30,0,15,0,0,0,2,20,0,0,0,0,0,0,10,12,97,0
1-Oct,30,12,0,0,0,0,0,0,32,0,12,0,0,0,1,15,0,0,0,0,0,0,0,8,98,0
2-Oct,25,11,0,0,0,0,0,0,32,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,98,0
3-Oct,25,11,0,0,0,0,0,0,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
4-Oct,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,75,0
5-Oct,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,70,0
6-Oct,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
7-Oct,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
8-Oct,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
